id,screen_name,description,affliation
2962813893,RepStefanik,"Official Twitter Account for Congresswoman Elise Stefanik, proudly representing New York's 21st District.",republican
1058256326,RepChrisCollins,Proud to represent New York’s 27th Congressional District. Focused on less spending in Washington and more jobs in America. Member of @HouseCommerce,republican
17494010,SenSchumer,Official account of Senator Chuck Schumer - New York’s Senator RT≠endorsement,democrat
2955485182,SenatorRounds,U.S. Senator for South Dakota,republican
339852137,SupJaniceHahn,Proudly representing the 4th District of Los Angeles County on the Board of Supervisors.,democrat
90484508,GovChristie,Official Twitter Account of the 55th Governor of New Jersey. Husband and proud father of four.,republican
248699486,RepJeffDenham,Working for the people of California's 10th district in the U.S. House of Representatives. http://t.co/8CkNyoIDFU,republican
16583468,RepMikeHonda,Former Congressman for 17th District of California and Silicon Valley (2001-2017),democrat
235312723,DesJarlaisTN04,Republican Congressman for Tennessee's 4th Congressional District.,republican
607332953,WVGovernor,Jim Justice is the 36th Governor of the State of West Virginia. Account run by the Governor's Office. Tweets from Governor Justice signed -JJ.,democrat
21406834,SenMarkey,"Official account for Senator Edward J. Markey. National leader on energy, environment, climate, telecom. Voice for consumer protection. https://t.co/nfYWzVp6R8",democrat
194233791,GovMaryFallin,Official Twitter account of Oklahoma Governor Mary Fallin.,republican
134249298,byronNME,"#BlackLivesMatter, Philosopher, Feminist, Anarcho-Communist, Autistic, #LGBTQIA friend, Artist, Anti-Fascist, Cat dad, writer, radical",democrat
21157904,SenatorBurr,"U.S. Senator from North Carolina, Chairman of the Senate Select Committee on Intelligence",republican
2964526557,RepAlexMooney,Official account for Congressman Alex Mooney representing the 2nd district of West Virginia. Congressman Mooney serves on the House Financial Services Committee,republican
1069124515,RepLaMalfa,"Representing California's First District including Siskiyou, Shasta, Tehama, Butte, Glenn, Modoc, Lassen, Plumas, Sierra, Nevada and Placer Counties",republican
23593446,davidcicilline,Serving Rhode Island's First District in Congress. Co-Chair of DPCC. #Resist,democrat
124224165,RepFredUpton,"Husband, Dad, and proud to represent Michigan's 6th District. Chairman of the Subcommittee on Energy.",republican
16789970,SenatorReid,Former Senator from the great state of Nevada.,democrat
231510077,JoaquinCastrotx,"Texas Congressman, Member of the House Foreign Affairs and House Intelligence Committees",democrat
237348797,TGowdySC,Official account of U.S. Congressman Trey Gowdy. Representing the Fourth District of South Carolina.,republican
