Edward Abbey 	1927	1989	 US author
Berenice Abbott 	1898	1991	 US photographer
Lyman Abbott 	1835	1922	 US religious leader
Ralph Abernathy 	1926	1990	 US religious and civil rights leader
Jane Sherwood Ace 	1905	1974	 US actress, comedienne
Dean Acheson 	1893	1971	 US lawyer, statesman
John Dalberg Acton 	1834	1902	 English historian
Roy Acuff 	1903	1992	 US singer
Abigail Adams 	1744	1818	 US first lady
Ansel Adams 	1902	1984	 US landscape photographer, conservationist
Franklin P. Adams 	1881	1960	 US journalist
Henry Brooks Adams 	1838	1918	 US historian, author
John Adams 	1767	1848	 US president (2nd)
John Quincy Adams 	1767	1848	 US president (6th)
Samuel Adams 	1722	1803	 US revolutionary, statesman
Jane Addams 	1869	1935	 US social worker, suffragist
Joseph Addison 	1672	1719	 English poet, essayist, playwright
George Ade 	1866	1944	 US humorist, playwright
Konrad Adenauer 	1876	1976	 German statesman
Alfred Adler 	1870	1937	 Austrian psychiatrist
Polly Adler 	1900	1953	 US madam
Theodor W. Adorno 	1903	1969	 German philosopher
James Agate 	1877	1947	 English critic, author
James Agee 	1909	1955	 US novelist, poet
Spiro T. Agnew 	1918	1996	 US politician
Leon Battista Alberti 	1404	1472	 Italian architect, philospher, poet
Amos Bronson Alcott 	1799	1888	 US teacher, philosopher, reformer
Louisa May Alcott 	1832	1888	 US novelist
Thomas Bailey Aldrich 	1836	1907	 US poet, writer, editor
Sholom Aleichem 	1859	1916	 Russian author
Nelson Algren 	1901	1981	 US novelist
Saul Alinsky 	1909	1972	 US political activist
Fred Allen 	1894	1956	 US comedian, vaudeville juggler
George Allen 	1922	1990	 US football coach
Gracie Allen 	1906	1964	 US comedienne
James Allen 	1849	1925	 US novelist
Richard Allen 	1760	1831	 US religious leader, activist
Margery Allingham 	1904	1966	 English detective story writer
William Allingham 	1824	1889	 Irish poet, editor
Joseph W. Alsop, Jr. 	1910	1989	 US journalist, author
Henri Frederic Amiel 	1821	1881	 Swiss writer
Kingsley Amis 	1922	1995	 English novelist, poet, critic, teacher
Elizabeth Garrett Anderson 	1836	1917	 English physician
Margaret Anderson 	1886	1973	 US editor
Marian Anderson 	1897	1993	 US singer
Maxwell Anderson 	1888	1959	 US dramatist
Ethel Percy Andrus 	1884	1967	 US social activist
Jean Anouilh 	1910	1987	 French dramatist, screenwriter
Susan B. Anthony 	1820	1906	 US social reformer, suffragist
Marie Antoinette 	1755	1795	 Austrian ruler
Guillaume Apollinaire 	1880	1918	 French novelist, critic
Louis Aragon 	1897	1982	 French poet
Diane Arbus 	1923	1971	 US photographer
John Arbuthnot 	1667	1735	 English physician
Elizabeth Arden 	1884	1966	 US cosmetics executive
Pietro Aretino 	1492	1556	 Italian poet, writer, dramatist
Ludovico Ariosto 	1474	1533	 Italian poet
Richard Armour 	1906	1989	 US poet
Louis Armstrong 	1900	1971	 US musician, bandleader
Peter Arno 	1904	1968	 US cartoonist, musical revue writer
Matthew Arnold 	1822	1888	 English poet, critic
