"id";"screen_name";"description";"created_at";"location";"is_verified";"latest_following_count";"latest_followers_count";"latest_status_count";"array_agg"
2962813893;"RepStefanik";"Official Twitter Account for Congresswoman Elise Stefanik, proudly representing New York's 21st District.";"2015-01-05 22:17:51";"";t;246;9499;2082;"{congressperson,Republican,republican}"
1058256326;"RepChrisCollins";"Proud to represent New York’s 27th Congressional District. Focused on less spending in Washington and more jobs in America. Member of @HouseCommerce";"2013-01-03 16:55:01";"";t;587;10874;2916;"{congressperson,Republican,republican}"
17494010;"SenSchumer";"Official account of Senator Chuck Schumer - New York’s Senator RT≠endorsement";"2008-11-19 20:10:20";"New York, NY";t;26578;522353;10076;"{senator,Democrat,democrat}"
2955485182;"SenatorRounds";"U.S. Senator for South Dakota";"2015-01-01 20:23:49";"Pierre, South Dakota";t;542;11180;1622;"{senator,Republican,republican}"
339852137;"SupJaniceHahn";"Proudly representing the 4th District of Los Angeles County on the Board of Supervisors.";"2011-07-21 19:22:22";"San Pedro, CA";t;1738;13050;4218;"{congressperson,Democrat}"
90484508;"GovChristie";"Official Twitter Account of the 55th Governor of New Jersey. Husband and proud father of four.";"2009-11-16 21:08:09";"Trenton, NJ";t;616;843266;8673;"{republican,Governor,Republican}"
248699486;"RepJeffDenham";"Working for the people of California's 10th district in the U.S. House of Representatives. http://t.co/8CkNyoIDFU";"2011-02-07 15:01:35";"Modesto, CA";t;1642;15305;2415;"{congressperson,Republican,republican}"
16583468;"RepMikeHonda";"Former Congressman for 17th District of California and Silicon Valley (2001-2017)";"2008-10-03 20:18:31";"Santa Clara, CA";t;1069;24807;2930;"{congressperson,Democrat}"
235312723;"DesJarlaisTN04";"Republican Congressman for Tennessee's 4th Congressional District.";"2011-01-07 21:47:44";"";t;1140;11975;3058;"{congressperson,Republican,republican}"
607332953;"WVGovernor";"Jim Justice is the 36th Governor of the State of West Virginia. Account run by the Governor's Office. Tweets from Governor Justice signed -JJ.";"2012-06-13 16:08:01";"Charleston, WV";t;125;19783;3671;"{Governor,Democrat}"
21406834;"SenMarkey";"Official account for Senator Edward J. Markey. National leader on energy, environment, climate, telecom. Voice for consumer protection. https://t.co/nfYWzVp6R8";"2009-02-20 15:49:29";"Malden, MA";t;802;53060;8681;"{senator,Democrat,democrat}"
194233791;"GovMaryFallin";"Official Twitter account of Oklahoma Governor Mary Fallin.";"2010-09-23 19:06:46";"Oklahoma";t;357;29426;4715;"{Governor,Republican}"
134249298;"byronNME";"#BlackLivesMatter, Philosopher, Feminist, Anarcho-Communist, Autistic, #LGBTQIA friend, Artist, Anti-Fascist, Cat dad, writer, radical";"2010-04-17 22:02:41";"";f;8541;8607;40061;"{democrat}"
21157904;"SenatorBurr";"U.S. Senator from North Carolina, Chairman of the Senate Select Committee on Intelligence";"2009-02-18 01:53:03";"Winston-Salem, NC";t;1990;56998;3047;"{senator,Republican,republican}"
2964526557;"RepAlexMooney";"Official account for Congressman Alex Mooney representing the 2nd district of West Virginia. Congressman Mooney serves on the House Financial Services Committee";"2015-01-06 17:13:10";"";t;443;4355;931;"{congressperson,Republican,republican}"
1069124515;"RepLaMalfa";"Representing California's First District including Siskiyou, Shasta, Tehama, Butte, Glenn, Modoc, Lassen, Plumas, Sierra, Nevada and Placer Counties";"2013-01-07 20:07:58";"Northern California";f;984;6333;348;"{congressperson,Republican,republican}"
23593446;"davidcicilline";"Serving Rhode Island's First District in Congress. Co-Chair of DPCC. #Resist";"2009-03-10 13:53:21";"";t;4876;25402;13397;"{congressperson,Democrat,democrat}"
124224165;"RepFredUpton";"Husband, Dad, and proud to represent Michigan's 6th District. Chairman of the Subcommittee on Energy.";"2010-03-18 17:34:35";"St. Joseph, Michigan";t;2347;19272;4234;"{congressperson,Republican,republican}"
16789970;"SenatorReid";"Former Senator from the great state of Nevada.";"2008-10-15 19:42:08";"Searchlight, NV";t;160;449622;4032;"{senator,Democrat,democrat}"
231510077;"JoaquinCastrotx";"Texas Congressman, Member of the House Foreign Affairs and House Intelligence Committees";"2010-12-28 18:41:02";"San Antonio, Texas";t;890;71186;7870;"{congressperson,Democrat,democrat}"
237348797;"TGowdySC";"Official account of U.S. Congressman Trey Gowdy. Representing the Fourth District of South Carolina.";"2011-01-12 16:57:04";"Spartanburg, SC";t;458;510790;1716;"{congressperson,Republican,republican}"
1045853744;"RepLukeMesser";"Husband to a wonderful wife, father of three great kids, Congressman for Indiana's 6th Congressional District, lifelong Hoosier, and a die-hard #Colts fan.";"2012-12-29 20:06:12";"Shelbyville, IN";t;838;9520;1620;"{congressperson,Republican,republican}"
1071840474;"RepSchneider";"Proud to represent the people of Illinois's 10th Congressional District";"2013-01-08 19:59:14";"Illinois";t;712;4622;1266;"{congressperson,democrat}"
234822928;"RepBobGibbs";"R-OH https://t.co/2BckMkGpZV";"2011-01-06 17:17:21";"US Congress";t;2955;20741;2704;"{congressperson,Republican,republican}"
818460870573441028;"Rep_Tom_Garrett";"";"2017-01-09 14:14:12";"";f;138;1536;207;"{congressperson,republican}"
995193054;"RepDelBene";"U.S. Congresswoman representing Washington's 1st Congressional District (#WA01)";"2012-12-07 14:40:48";"";t;1510;14546;3232;"{congressperson,Democrat,democrat}"
19929362;"RepJoeBarton";"I work for the people of the 6th District of Texas and am honored to represent them in Washington.";"2009-02-02 20:30:20";"Washington, D.C.";t;312;23187;1921;"{congressperson,Republican,republican}"
15985455;"GovPenceIN";"This is an archive of former Indiana Governor Mike Pence's account.";"2008-08-25 18:52:42";"Indiana";t;885;235059;10277;"{Governor,Republican}"
234797704;"AustinScottGA08";"I am proud to represent the 8th Congressional District of Georgia.";"2011-01-06 16:01:46";"Ashburn, GA";t;314;12636;1973;"{congressperson,Republican,republican}"
248850174;"RepMeehan";"Proudly representing Pennsylvania's 7th District in the U.S. House of Representatives";"2011-02-07 21:19:34";"";t;951;14013;3882;"{congressperson,Republican,republican}"
231592153;"PhilBryantMS";"A strong fiscal conservative dedicated to efficiency and accountability in government.";"2010-12-28 23:30:49";"Mississippi";t;878;40828;4103;"{Governor,Republican}"
975200486;"RepThomasMassie";"U.S. Representative for Kentucky's 4th District";"2012-11-28 02:33:14";"";t;614;30091;2066;"{congressperson,Republican,republican}"
2975350155;"RepMarkTakai";"Aloha!  Welcome to the official Twitter for Congressman Mark Takai (HI-01) -- husband, father, Hawaii National Guard veteran, public servant.";"2015-01-12 21:41:39";"Honolulu / Washington, D.C.";t;1808;2785;711;"{congressperson,Democrat}"
1074101017;"SusanWBrooks";"Serving the good people of Indiana’s 5th District in Congress.";"2013-01-09 15:30:38";"";t;1038;11869;3102;"{congressperson,Republican,republican}"
516880804;"BettyMcCollum04";"Proudly representing Minnesota's Fourth District in the United States House of Representatives.";"2012-03-06 20:52:11";"St. Paul, MN";t;956;14102;4091;"{congressperson,Democrat,democrat}"
818472418620608512;"RepAlLawsonJr";"This is the official twitter account for U.S. Rep. Al Lawson, Jr., FL-5";"2017-01-09 15:00:05";"Tallahassee, FL";t;345;763;74;"{congressperson,democrat}"
6577802;"RepTomPrice";"Former U.S. Representative for Georgia's 6th Congressional District. 

Current @HHSGov Secretary. Follow me @SecPriceMD.

This is an archived account.";"2007-06-04 19:24:39";"Washington, D.C.";f;3207;40841;5340;"{congressperson,Republican,republican}"
29201047;"SenJeffMerkley";"U.S. Senator from the State of Oregon. Instagram: https://t.co/pECsFBm1G1";"2009-04-06 13:38:39";"Oregon";t;527;93066;4430;"{senator,Democrat,democrat}"
213795411;"GovWalker";"Official Twitter Account of the 45th Governor of the State of Wisconsin, Scott Walker.";"2010-11-09 20:35:32";"Wisconsin";t;258;177607;9739;"{Governor,Republican}"
33537967;"amyklobuchar";"U.S. Senator from Minnesota. Follows, Retweets, Replies ≠ endorsement";"2009-04-20 14:59:36";"";t;86032;150662;5308;"{democrat,senator,Democrat}"
1058807868;"RepDeSantis";"The Official Twitter account for Congressman DeSantis. Proudly representing Florida's 6th District. Stay connected through Facebook at http://t.co/WKpKHHXK!";"2013-01-03 21:20:17";"";t;1410;14671;1957;"{congressperson,Republican,republican}"
18023868;"MassGovernor";"Official account of Governor Charlie Baker of Massachusetts.";"2008-12-10 17:06:17";"Massachusetts";t;11114;202275;8244;"{Governor,Republican}"
2863006655;"RepLawrence";"Congresswoman for Michigan's 14th District: Detroit, Southfield, Oakland and Wayne Counties.";"2014-11-05 18:46:39";"Washington, DC";t;1060;6461;2827;"{congressperson,Democrat,democrat}"
384913290;"RepJohnYarmuth";"Official Twitter Account for Congressman John Yarmuth, representing the 3rd Congressional District of Kentucky.";"2011-10-04 15:07:38";"Louisville, KY";t;355;18861;2545;"{congressperson,Democrat,democrat}"
198526130;"RepJoePitts";"Joe Pitts represents the 16th Congressional District of Pennsylvania: http://t.co/NpQGE161wQ";"2010-10-04 15:09:48";"Pennsylvania";t;114;13342;1895;"{congressperson,Republican}"
834069080;"RepDavidRouzer";"Congressman from North Carolina's 7th Congressional district";"2012-09-19 20:23:15";"";t;392;3888;491;"{congressperson,Republican,republican}"
479872233;"RepRoybalAllard";"Congresswoman Lucille Roybal-Allard, proudly representing the 40th District of California. Follow me at http://t.co/KjVfmF9CaM & http://t.co/Urj0zPAr8d.";"2012-01-31 21:30:43";"";t;1710;13730;2927;"{congressperson,Democrat,democrat}"
109287731;"SenatorShaheen";"Proud Granite Stater serving New Hampshire in the US Senate. Former Governor. Mother & Grandmother. Frequent Flyer. Pats & Red Sox Fan. Outdoor enthusiast.";"2010-01-28 15:22:44";"Washington, DC";t;5542;48258;5024;"{senator,Democrat,democrat}"
