sex, age, pitch, light, weight, common sense A, common sense B, cleverness
f, 11.5, 8, 4, 4, 6, 5, 2
m, 12.916, 15, 3, 4, 11, 7, 22
f, 12.666, 14, 6, 4, 16, 10, 7
f, 13.666, 13, 4, 9, 1, 1, 1
m, 11.333, 5, 14, 7, 3, 2, 3
f, 11.916, 25, 7, 4, 10, 14, 9
f, 11.25, 10, 19,8,8,19,12
f, 13.083, 10,12,10,2,4,6
m, 12.416, 18,11,9,5,6,11
m, 12.583, 14,30,7,21,22,19
f, 12.666,60,3,10,12,9,4
f, 13.833,20,12,10,13,12,18
f, 13.083,40,5,12,4,8,8
f, 12.083,45,12,9,9,13,14
m, 11.416,25,4,28,17,11,17
m, 10.0,90,15,5,22,21,5
f, 11.75,17,15,20,14,20,15
m, 13.583, 24,26,13,19,17,24
m, 12.5,18,35,14,18,3,6
m, 12.333,70,10,14,23,24,20
m, 11.583,17,42,16,24,23,23
f, 11.166,28,20,17,7,15,13
m, 11.166,90,25,18,20,16,21
 
